83541067,Fire patrick grillo,2233,2vs2
66169134,Wind joseph joseph,2269,2vs2
43841447,Earth mariana,2177,2vs2
89571154,Mr teorema pepe,2294,2vs2
38117788,USP gabriela,2020,5vs5
58665736,Glock f0rest,2287,2vs2
24852524,USP f0rest,2138,5vs5
23760098,Miss felipe stephanie,2007,5vs5
21355409,Ice patrick,2261,5vs5
42940548,Deagle joseph,2031,2vs2
60356153,Knight maria felipe,2286,5vs5
63961392,Daft john,2011,2vs2
70629025,Daft f0rest,2019,2vs2
22033939,Deagle get_right calquin,2136,2vs2
90996495,Fire joseph mali,2171,2vs2
22723415,Earth f0rest,2034,2vs2
20754451,Mr joseph,2121,5vs5
59548154,Thunder joseph grillo,2148,2vs2
49635699,Apprentice maria,2235,2vs2
35954236,Wind sulu fats,2285,5vs5
